data|ExistingDMD (rank=5)|CenteredDMD d=50 e=.99 rmax=20|UnitCircleDMD d=50 e=.99 rmax=20|UnitCircleDMD d=100 e=.99 rmax=40|HAVOK d=100 r=11|HAVOK d=200 r=25
833.0|793.789|892.355|970.834|1037.83|963.215|855.073
819.0|787.173|891.478|964.055|1112.638|980.819|853.743
808.0|781.798|895.754|958.682|1177.478|995.986|857.837
822.0|778.187|904.284|953.445|1224.737|1007.148|867.675
852.0|776.683|915.69|947.641|1247.993|1012.941|883.146
888.0|777.417|928.375|941.406|1242.608|1012.564|903.651
940.0|780.299|940.766|935.646|1206.367|1005.892|928.062
984.0|785.025|951.499|931.688|1140.108|993.274|954.741
1008.0|791.114|959.543|930.787|1048.22|975.778|981.665
1019.0|797.954|964.262|933.686|938.808|954.933|1006.563
1030.0|804.862|965.428|940.351|823.307|932.644|1027.147
1044.0|811.157|963.211|949.968|715.4|910.964|1041.354
1043.0|816.223|958.129|961.165|629.24|891.992|1047.574
1031.0|819.572|950.975|972.376|577.165|877.734|1044.875
1025.0|820.888|942.717|982.194|567.336|869.67|1033.133
1009.0|820.062|934.371|989.631|601.842|868.727|1013.097
996.0|817.192|926.874|994.197|675.85|875.245|986.348
982.0|812.581|920.973|995.82|778.149|888.789|955.163
968.0|806.7|917.155|994.667|893.15|908.147|922.31
930.0|800.139|915.639|990.953|1003.947|931.607|890.781
889.0|793.552|916.401|984.813|1095.719|957.021|863.499
858.0|787.588|919.245|976.286|1158.562|981.95|843.014
834.0|782.829|923.854|965.406|1188.986|1003.982|831.258
821.0|779.733|929.832|952.361|1189.666|1021.01|829.35
823.0|778.59|936.706|937.664|1167.618|1031.433|837.5
844.0|779.496|943.905|922.267|1131.438|1034.32|854.986
874.0|782.343|950.752|907.589|1088.601|1029.512|880.234
911.0|786.835|956.489|895.418|1043.728|1017.647|910.988
964.0|792.516|960.354|887.709|998.377|1000.037|944.51
1006.0|798.818|961.718|886.273|952.287|978.487|977.843
1035.0|805.116|960.239|892.426|905.439|955.231|1008.103
1051.0|810.793|955.987|906.619|859.934|932.636|1032.723
1053.0|815.299|949.502|928.145|820.737|912.782|1049.674
1046.0|818.202|941.737|954.991|794.809|897.389|1057.629
1039.0|819.234|933.894|983.909|788.808|887.667|1056.058
1023.0|818.31|927.19|1010.769|806.194|884.216|1045.244
1004.0|815.542|922.61|1031.16|844.955|887.043|1026.264
992.0|811.216|920.711|1041.199|897.028|895.544|1000.855
976.0|805.773|921.539|1038.365|949.918|908.619|971.228
959.0|799.756|924.67|1022.185|990.2|924.935|939.863
933.0|793.76|929.359|994.577|1007.8|942.964|909.318
